year,issue,company,ticker,sponsorType,meanActivist,modeDistinct
2010,gg,"WESBANCO, INC.",WSBC,Individual,1.0,1
2010,gg,EQT CORPORATION,EQT,union,0.0,-1
2010,env,"C. R. BARD, INC.",BCR,SRI fund,0.0,0
2010,gg,THE COCA-COLA COMPANY,KO,fund,0.0,0
2010,gg,CITY NATIONAL CORPORATION,CYN,,1.0,0
2010,gg,THE COCA-COLA COMPANY,KO,Individual,0.0,0
2010,env,THE COCA-COLA COMPANY,KO,SRI fund,0.0,0
2010,gg,THE COCA-COLA COMPANY,KO,religious,0.0,0
2010,gg,"HCP, INC.",HCP,union,0.0,0
2010,no-esg,PFIZER INC.,PFE,Individual,0.0,0
2010,soc,LOCKHEED MARTIN CORPORATION,LMT,religious,0.0,0
2010,no-esg,JOHNSON & JOHNSON,JNJ,Individual,0.0,0
2010,gg,JOHNSON & JOHNSON,JNJ,SRI fund,0.0,0
2010,gg,"BAKER HUGHES, A GE COMPANY, LLC",BHGE,union,0.0,0
2010,gg,EDISON INTERNATIONAL,EIX,Individual,0.0,1
2010,gg,EDISON INTERNATIONAL,EIX,Individual,0.0,0
2010,no-esg,ABBOTT LABORATORIES,ABT,Individual,0.0,0
2010,gg,NEWMONT MINING CORPORATION,NEM,,0.0,-1
2010,gg,ABBOTT LABORATORIES,ABT,religious,0.0,0
2010,gg,COCA-COLA EUROPEAN PARTNERS PLC,CCE,fund,1.0,1
2010,gg,ARCONIC INC.,ARNC,Individual,0.0,-1
2010,gg,KELLOGG COMPANY,K,Individual,1.0,1
2010,no-esg,NEWMONT MINING CORPORATION,NEM,Individual,0.0,0
2010,gg,GRACO INC.,GGG,public pension,0.0,-1
2010,gg,"HARLEY-DAVIDSON, INC.",HOG,Individual,1.0,0
2010,no-esg,AMERICAN EXPRESS COMPANY,AXP,other,0.0,0
2010,gg,AMERICAN EXPRESS COMPANY,AXP,Individual,0.0,0
2010,no-esg,AMERICAN EXPRESS COMPANY,AXP,Individual,0.0,0
2010,soc,HONEYWELL INTERNATIONAL INC.,HON,religious,0.0,0
2010,soc,THE BOEING COMPANY,BA,SRI fund,0.0,0
2010,gg,"STERLING BANCSHARES, INC.",SBIB,Individual,1.0,0
2010,gg,HONEYWELL INTERNATIONAL INC.,HON,Individual,0.0,0
2010,soc,THE BOEING COMPANY,BA,religious,0.0,0
2010,gg,"M.D.C. HOLDINGS, INC.",MDC,,0.0,0
2010,gg,THE BOEING COMPANY,BA,Individual,0.0,0
2010,no-esg,THE BOEING COMPANY,BA,Individual,0.0,0
2010,gg,THE BOEING COMPANY,BA,Individual,0.0,0
2010,no-esg,MEADWESTVACO CORPORATION,MWV,Individual,0.0,0
2010,gg,HONEYWELL INTERNATIONAL INC.,HON,Individual,0.0,0
2010,gg,INTERNATIONAL BUSINESS MACHINES CORPORATION,IBM,Individual,0.0,0
2010,no-esg,COMERICA INCORPORATED,CMA,union,0.0,-1
2010,env,"SUNTRUST BANKS, INC.",STI,religious,0.0,0
2010,env,AMEREN CORPORATION,AEE,religious,0.0,0
2010,no-esg,BEAM SUNTORY INC.,BEAM,Individual,0.0,-1
2010,gg,INTERNATIONAL BUSINESS MACHINES CORPORATION,IBM,SRI fund,0.0,0
2010,no-esg,COMERICA INCORPORATED,CMA,,0.0,0
2010,gg,SOUTH STATE CORPORATION,SSB,Individual,1.0,0
2010,env,CABOT OIL & GAS CORPORATION,COG,public pension,0.0,0
2010,gg,BB&T CORPORATION,BBT,other,0.0,0
2010,soc,BB&T CORPORATION,BBT,union,0.0,0
2010,soc,BB&T CORPORATION,BBT,SRI fund,0.0,0
2010,env,"MDU RESOURCES GROUP, INC.",MDU,Special Interest,0.0,0
2010,gg,"METLIFE, INC.",MET,Individual,0.0,0
2010,gg,COMERICA INCORPORATED,CMA,,1.0,0
2010,gg,SPECTRA ENERGY CORP,SE,union,0.0,0
2010,no-esg,INTERNATIONAL BUSINESS MACHINES CORPORATION,IBM,Individual,0.0,0
2010,gg,WELLS FARGO & COMPANY,WFC,Individual,0.0,1
2010,gg,WELLS FARGO & COMPANY,WFC,Individual,0.0,0
2010,gg,CAMDEN NATIONAL CORPORATION,CAC,Individual,1.0,1
2010,soc,WELLS FARGO & COMPANY,WFC,,0.0,0
2010,gg,"THE PNC FINANCIAL SERVICES GROUP, INC.",PNC,fund,0.0,-1
2010,gg,WELLS FARGO & COMPANY,WFC,union,0.0,0
2010,soc,WELLS FARGO & COMPANY,WFC,union,0.0,0
2010,gg,UMB FINANCIAL CORPORATION,UMBF,Individual,1.0,1
2010,gg,TCF FINANCIAL CORPORATION,TCF,Individual,1.0,0
2010,gg,GENERAL ELECTRIC COMPANY,GE,SRI fund,0.0,0
2010,no-esg,GENERAL ELECTRIC COMPANY,GE,Individual,0.0,0
2010,gg,GENERAL ELECTRIC COMPANY,GE,religious,0.0,0
2010,no-esg,S&P GLOBAL INC.,SPGI,Individual,0.0,0
